name,Explained Variance Ratio (train),Maximum Mean Discrepancy (train),Accuracy (linear_svm),Delta_DP (linear_svm),Accuracy (kernel_svm),Delta_DP (kernel_svm),Accuracy (mlp),Delta_DP (mlp)
vanilla_split0,0.12143619,0.10124838028203986,0.7,0.0,0.7166666666666667,0.05429292929292928,0.68,0.039141414141414144
vanilla_split1,0.12124899,0.09821520769444293,0.7133333333333334,0.0,0.7166666666666667,0.010646846122940978,0.72,0.09160305343511443
vanilla_split2,0.11937285,0.10534013157715452,0.7166666666666667,0.0,0.7166666666666667,0.2227047146401986,0.7266666666666667,0.2106079404466501
vanilla_split3,0.12199535,0.09229531656684087,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6933333333333334,0.043650793650793496
vanilla_split4,0.11916378,0.08952863188481407,0.7,0.0,0.6766666666666666,0.15773613334588932,0.6833333333333333,0.2116018457481872
vanilla_split5,0.121588655,0.09973690917408874,0.6633333333333333,0.0,0.67,0.030711079612568026,0.6433333333333333,0.04819277108433728
vanilla_split6,0.12117643,0.1062321416263578,0.7,0.0,0.7066666666666667,0.19044665012406958,0.7133333333333334,0.23418114143920588
vanilla_split7,0.12098079,0.10923987190016644,0.6966666666666667,0.0,0.6966666666666667,0.0,0.6733333333333333,0.010343957615003063
vanilla_split8,0.121175595,0.11382851405585136,0.72,0.0,0.71,0.020000000000000018,0.7166666666666667,0.1399999999999999
vanilla_split9,0.12017554,0.10060157637447079,0.72,0.0,0.71,0.13461538461538458,0.7133333333333334,0.13058312655086834
